feature,nonmissing,missing_fraction,unique_values,selected
ge_hr_bpm,16980,0.0064365125804564105,99,True
ge_qrs_dur_ms,16979,0.006495026331187814,61,True
ge_qt_ms,16979,0.006495026331187814,137,True
ge_qtc_ms,16979,0.006495026331187814,228,True
ge_rr_ms,16979,0.006495026331187814,429,True
ge_pp_ms,16979,0.006495026331187814,120,True
ge_cb_count,16979,0.006495026331187814,25,True
ge_qrs_axis_deg,16979,0.006495026331187814,262,True
ge_t_axis_deg,16979,0.006495026331187814,334,True
ge_qrs_onset_ms,16979,0.006495026331187814,50,True
ge_qrs_offset_ms,16979,0.006495026331187814,59,True
ge_t_offset_ms,16979,0.006495026331187814,139,True
ge_lead_i_j_uv,16979,0.006495026331187814,65,True
ge_lead_i_st_uv,16979,0.006495026331187814,72,True
ge_lead_i_ste_uv,16979,0.006495026331187814,100,True
ge_lead_ii_j_uv,16979,0.006495026331187814,79,True
ge_lead_ii_st_uv,16979,0.006495026331187814,74,True
ge_lead_ii_ste_uv,16979,0.006495026331187814,104,True
ge_lead_iii_j_uv,16979,0.006495026331187814,83,True
ge_lead_iii_st_uv,16979,0.006495026331187814,70,True
ge_lead_iii_ste_uv,16979,0.006495026331187814,91,True
ge_lead_avr_j_uv,16979,0.006495026331187814,60,True
ge_lead_avr_st_uv,16979,0.006495026331187814,64,True
ge_lead_avr_ste_uv,16979,0.006495026331187814,91,True
ge_lead_avl_j_uv,16979,0.006495026331187814,66,True
ge_lead_avl_st_uv,16979,0.006495026331187814,65,True
ge_lead_avl_ste_uv,16979,0.006495026331187814,89,True
ge_lead_avf_j_uv,16979,0.006495026331187814,76,True
ge_lead_avf_st_uv,16979,0.006495026331187814,68,True
ge_lead_avf_ste_uv,16979,0.006495026331187814,83,True
ge_lead_v1_j_uv,16979,0.006495026331187814,95,True
ge_lead_v1_st_uv,16979,0.006495026331187814,118,True
ge_lead_v1_ste_uv,16979,0.006495026331187814,168,True
ge_lead_v2_j_uv,16979,0.006495026331187814,132,True
ge_lead_v2_st_uv,16979,0.006495026331187814,151,True
ge_lead_v2_ste_uv,16979,0.006495026331187814,247,True
ge_lead_v3_j_uv,16979,0.006495026331187814,113,True
ge_lead_v3_st_uv,16979,0.006495026331187814,143,True
ge_lead_v3_ste_uv,16979,0.006495026331187814,229,True
ge_lead_v4_j_uv,16979,0.006495026331187814,103,True
ge_lead_v4_st_uv,16979,0.006495026331187814,127,True
ge_lead_v4_ste_uv,16979,0.006495026331187814,188,True
ge_lead_v5_j_uv,16979,0.006495026331187814,91,True
ge_lead_v5_st_uv,16979,0.006495026331187814,106,True
ge_lead_v5_ste_uv,16979,0.006495026331187814,158,True
ge_lead_v6_j_uv,16979,0.006495026331187814,85,True
ge_lead_v6_st_uv,16979,0.006495026331187814,97,True
ge_lead_v6_ste_uv,16979,0.006495026331187814,134,True
ge_lead_v5_r_ms,16978,0.006553540081919218,106,True
ge_lead_v5_r_uv,16978,0.006553540081919218,695,True
ge_lead_v6_r_ms,16978,0.006553540081919218,121,True
ge_lead_v6_r_uv,16978,0.006553540081919218,604,True
ge_lead_i_r_ms,16977,0.006612053832650622,128,True
ge_lead_i_r_uv,16977,0.006612053832650622,381,True
ge_lead_v4_r_ms,16975,0.00672908133411354,113,True
ge_lead_v4_r_uv,16975,0.00672908133411354,690,True
ge_lead_ii_r_ms,16966,0.007255705090696285,115,True
ge_lead_ii_r_uv,16966,0.007255705090696285,468,True
ge_lead_v3_r_ms,16958,0.007723815096547737,128,True
ge_lead_v3_r_uv,16958,0.007723815096547737,540,True
ge_lead_avf_r_ms,16931,0.009303686366296082,130,True
ge_lead_avf_r_uv,16931,0.009303686366296082,411,True
ge_lead_v2_r_ms,16899,0.011176126389701557,134,True
ge_lead_v2_r_uv,16899,0.011176126389701557,479,True
ge_lead_v2_t_uv,16890,0.011702750146284413,423,True
ge_p_onset_ms,16856,0.013692217671152696,105,True
ge_p_offset_ms,16856,0.013692217671152696,100,True
ge_lead_v3_p_uv,16840,0.014628437682855489,67,True
ge_lead_v4_p_uv,16840,0.014628437682855489,67,True
ge_lead_v2_p_uv,16834,0.014979520187244022,68,True
ge_lead_avr_p_uv,16830,0.015213575190169637,67,True
ge_lead_ii_p_uv,16829,0.015272088940901152,100,True
ge_lead_iii_p_uv,16823,0.015623171445289685,97,True
ge_lead_v5_p_uv,16820,0.015798712697483897,62,True
ge_lead_v1_p_uv,16819,0.0158572264482153,74,True
ge_lead_v3_t_uv,16815,0.016091281451141026,408,True
ge_lead_v6_p_uv,16812,0.016266822703335237,59,True
ge_lead_avf_p_uv,16810,0.016383850204798156,93,True
ge_lead_v2_s_ms,16797,0.017144528964306627,113,True
ge_lead_v2_s_uv,16797,0.017144528964306627,671,True
ge_lead_i_p_uv,16795,0.017261556465769434,62,True
ge_lead_v3_s_ms,16776,0.01837331772966644,117,True
ge_lead_v3_s_uv,16776,0.01837331772966644,598,True
ge_p_axis_deg,16768,0.01884142773551789,143,True
ge_p_dur_ms,16766,0.018958455236980698,65,True
ge_lead_v4_t_uv,16765,0.019016968987712102,396,True
ge_lead_iii_r_ms,16764,0.019075482738443506,128,True
ge_lead_iii_r_uv,16764,0.019075482738443506,396,True
ge_lead_avl_r_ms,16760,0.01930953774136923,129,True
ge_lead_avl_r_uv,16760,0.01930953774136923,318,True
ge_lead_i_t_uv,16746,0.020128730251609106,175,True
ge_lead_v5_t_uv,16736,0.020713867758923366,337,True
ge_lead_avr_t_uv,16728,0.021181977764774707,161,True
ge_pq_ms,16711,0.022176711527208903,94,True
ge_lead_v6_t_uv,16686,0.02363955529549444,266,True
ge_lead_avl_p_uv,16668,0.02469280280866004,61,True
ge_lead_ii_t_uv,16637,0.026506729081334113,189,True
ge_lead_v4_s_ms,16379,0.04160327677004094,120,True
ge_lead_v4_s_uv,16379,0.04160327677004094,467,True
ge_lead_v1_r_ms,16274,0.04774722059684022,122,True
ge_lead_v1_r_uv,16274,0.04774722059684022,271,True
ge_lead_avf_t_uv,16101,0.05787009947337629,164,True
ge_lead_v1_s_ms,16092,0.058396723229959036,111,True
ge_lead_v1_s_uv,16092,0.058396723229959036,463,True
ge_lead_v1_t_uv,15846,0.0727911059098888,272,True
ge_lead_avl_t_uv,15694,0.08168519602106494,155,True
ge_lead_v5_s_ms,15661,0.08361614979520182,116,True
ge_lead_v5_s_uv,15661,0.08361614979520182,359,True
ge_lead_iii_t_uv,15569,0.08899941486249263,176,True
ge_lead_v6_s_ms,13624,0.20280866003510822,114,True
ge_lead_v6_s_uv,13624,0.20280866003510822,254,True
ge_lead_avr_r_ms,12526,0.2670567583382095,106,True
ge_lead_avr_r_uv,12526,0.2670567583382095,127,True
ge_lead_v1_pprime_uv,12110,0.29139847864248103,48,True
ge_lead_avl_s_ms,11954,0.3005266237565828,119,True
ge_lead_avl_s_uv,11954,0.3005266237565828,219,True
ge_lead_avr_q_ms,11782,0.31059098888238734,118,True
ge_lead_avr_q_uv,11782,0.31059098888238734,331,True
ge_lead_i_s_ms,11178,0.3459332943241662,108,True
ge_lead_i_s_uv,11178,0.3459332943241662,151,True
ge_lead_iii_s_ms,10359,0.39385605617320074,115,True
ge_lead_iii_s_uv,10359,0.39385605617320074,315,True
ge_lead_ii_s_ms,9495,0.44441193680514923,116,True
ge_lead_ii_s_uv,9495,0.44441193680514923,188,True
ge_lead_avf_s_ms,9437,0.44780573434757165,118,True
ge_lead_avf_s_uv,9437,0.44780573434757165,228,True
ge_lead_avl_pprime_uv,8057,0.5285547103569339,45,True
ge_lead_avl_q_ms,7807,0.5431831480397893,98,True
ge_lead_avl_q_uv,7807,0.5431831480397893,124,True
ge_lead_iii_q_ms,7498,0.5612638970157987,100,True
ge_lead_iii_q_uv,7498,0.5612638970157987,188,True
ge_lead_v6_q_ms,7212,0.5779988297249854,36,True
ge_lead_v6_q_uv,7212,0.5779988297249854,85,True
ge_lead_i_q_ms,6533,0.6177296664716208,43,True
ge_lead_i_q_uv,6533,0.6177296664716208,70,True
ge_lead_avf_q_ms,6332,0.6294909303686367,83,True
ge_lead_avf_q_uv,6332,0.6294909303686367,110,True
ge_lead_ii_q_ms,6294,0.6317144528964307,55,True
ge_lead_ii_q_uv,6294,0.6317144528964307,87,True
ge_lead_avr_s_ms,5712,0.6657694558221182,101,True
ge_lead_avr_s_uv,5712,0.6657694558221182,322,True
ge_lead_iii_pprime_uv,5073,0.7031597425394968,51,True
ge_lead_v5_q_ms,4900,0.7132826214160328,36,True
ge_lead_v5_q_uv,4900,0.7132826214160328,89,True
ge_lead_iii_rp_uv,4441,0.7401404330017554,197,True
ge_lead_iii_rp2_ms,4441,0.7401404330017554,99,True
ge_lead_iii_tprime_uv,3648,0.786541837331773,82,True
ge_lead_v2_pprime_uv,3207,0.81234640140433,45,True
ge_lead_avf_rp_uv,2420,0.8583967232299591,159,True
ge_lead_avf_rp2_ms,2420,0.8583967232299591,85,True
ge_lead_avr_rp_uv,2418,0.8585137507314219,89,True
ge_lead_avr_rp2_ms,2418,0.8585137507314219,91,True
ge_lead_v1_tprime_uv,2238,0.8690462258630778,79,True
ge_lead_avf_tprime_uv,2168,0.8731421884142774,79,True
ge_lead_avl_rp_uv,2130,0.8753657109420714,102,True
ge_lead_avl_rp2_ms,2130,0.8753657109420714,68,True
ge_lead_v4_q_ms,1938,0.8866003510825043,38,True
ge_lead_v4_q_uv,1938,0.8866003510825043,82,True
ge_lead_v3_tprime_uv,1660,0.9028671737858397,124,True
ge_lead_avl_tprime_uv,1658,0.9029842012873025,62,True
ge_lead_v6_tprime_uv,1488,0.9129315389116442,121,True
ge_lead_v4_tprime_uv,1481,0.9133411351667642,129,True
ge_lead_ii_rp_uv,1367,0.9200117027501463,113,True
ge_lead_ii_rp2_ms,1367,0.9200117027501463,65,True
ge_lead_v5_tprime_uv,1350,0.9210064365125805,124,True
ge_lead_ii_tprime_uv,1319,0.9228203627852545,96,True
ge_lead_iii_sp_uv,1265,0.9259801053247513,120,True
ge_lead_v2_tprime_uv,1230,0.9280280866003511,117,True
ge_lead_v1_rp_uv,1160,0.9321240491515506,231,True
ge_lead_v1_rp2_ms,1160,0.9321240491515506,109,True
ge_lead_avf_pprime_uv,1011,0.9408425980105325,41,True
ge_lead_i_tprime_uv,989,0.9421299005266237,79,True
ge_lead_v1_q_ms,890,0.9479227618490346,108,True
ge_lead_v1_q_uv,890,0.9479227618490346,298,True
ge_lead_v2_rp_uv,817,0.9521942656524283,155,False
ge_lead_v2_rp2_ms,817,0.9521942656524283,84,False
ge_lead_v3_pprime_uv,778,0.9544763019309538,30,False
ge_lead_i_pprime_uv,775,0.954651843183148,41,False
ge_lead_avr_tprime_uv,764,0.9552954944411937,79,False
ge_lead_v4_rp_uv,628,0.963253364540667,68,False
ge_lead_v4_rp2_ms,628,0.963253364540667,53,False
ge_lead_i_rp_uv,617,0.9638970157987127,53,False
ge_lead_i_rp2_ms,617,0.9638970157987127,55,False
ge_lead_v5_rp_uv,608,0.9644236395552955,55,False
ge_lead_v5_rp2_ms,608,0.9644236395552955,43,False
ge_lead_avf_sp_uv,594,0.9652428320655354,105,False
ge_lead_v6_rp_uv,565,0.9669397308367467,48,False
ge_lead_v6_rp2_ms,565,0.9669397308367467,46,False
ge_lead_v3_rp_uv,500,0.970743124634289,106,False
ge_lead_v3_rp2_ms,500,0.970743124634289,73,False
ge_lead_v1_sp_uv,423,0.9752486834406086,108,False
ge_lead_v4_pprime_uv,295,0.9827384435342306,35,False
ge_lead_avl_sp_uv,262,0.9846693973083674,64,False
ge_lead_v3_q_ms,262,0.9846693973083674,42,False
ge_lead_v3_q_uv,262,0.9846693973083674,61,False
ge_lead_v2_q_ms,224,0.9868929198361615,63,False
ge_lead_v2_q_uv,224,0.9868929198361615,118,False
ge_lead_ii_pprime_uv,215,0.9874195435927443,40,False
ge_lead_avr_sp_uv,152,0.9911059098888239,20,False
ge_lead_v6_pprime_uv,126,0.9926272674078408,38,False
ge_lead_ii_sp_uv,115,0.9932709186658865,64,False
ge_lead_v2_sp_uv,112,0.9934464599180808,70,False
ge_lead_avr_pprime_uv,110,0.9935634874195436,33,False
sl_phase_hr_bpm,110,0.9935634874195436,39,False
sl_phase_qrs_dur_ms,110,0.9935634874195436,23,False
sl_phase_qt_ms,110,0.9935634874195436,52,False
sl_phase_qtc_ms,110,0.9935634874195436,63,False
sl_phase_rr_ms,110,0.9935634874195436,86,False
sl_phase_cb_count,110,0.9935634874195436,12,False
sl_phase_qrs_axis_deg,110,0.9935634874195436,66,False
sl_phase_t_axis_deg,110,0.9935634874195436,66,False
sl_phase_qrs_onset_ms,110,0.9935634874195436,22,False
sl_phase_qrs_offset_ms,110,0.9935634874195436,30,False
sl_phase_t_offset_ms,110,0.9935634874195436,55,False
sl_rc_hr_bpm,110,0.9935634874195436,39,False
sl_rc_qrs_dur_ms,110,0.9935634874195436,23,False
sl_rc_qt_ms,110,0.9935634874195436,52,False
sl_rc_qtc_ms,110,0.9935634874195436,63,False
sl_rc_rr_ms,110,0.9935634874195436,86,False
sl_rc_cb_count,110,0.9935634874195436,12,False
sl_rc_qrs_axis_deg,110,0.9935634874195436,66,False
sl_rc_t_axis_deg,110,0.9935634874195436,66,False
sl_rc_qrs_onset_ms,110,0.9935634874195436,22,False
sl_rc_qrs_offset_ms,110,0.9935634874195436,30,False
sl_rc_t_offset_ms,110,0.9935634874195436,55,False
sl_phase_pq_ms,109,0.993622001170275,37,False
sl_phase_p_dur_ms,109,0.993622001170275,25,False
sl_phase_p_axis_deg,109,0.993622001170275,44,False
sl_phase_p_onset_ms,109,0.993622001170275,39,False
sl_phase_p_offset_ms,109,0.993622001170275,41,False
sl_rc_pq_ms,109,0.993622001170275,37,False
sl_rc_p_dur_ms,109,0.993622001170275,25,False
sl_rc_p_axis_deg,109,0.993622001170275,44,False
sl_rc_p_onset_ms,109,0.993622001170275,39,False
sl_rc_p_offset_ms,109,0.993622001170275,41,False
ge_lead_v3_sp_uv,107,0.9937390286717379,59,False
ge_lead_v5_pprime_uv,97,0.9943241661790521,17,False
ge_lead_v4_sp_uv,82,0.9952018724400234,45,False
ge_lead_v6_sp_uv,67,0.9960795787009947,26,False
ge_lead_v5_sp_uv,48,0.9971913399648917,29,False
sl_phase_pp_ms,37,0.9978349912229374,27,False
sl_lead_i_r_ms,37,0.9978349912229374,28,False
sl_lead_i_r_uv,37,0.9978349912229374,35,False
sl_lead_i_j_uv,37,0.9978349912229374,18,False
sl_lead_i_st_uv,37,0.9978349912229374,19,False
sl_lead_i_ste_uv,37,0.9978349912229374,20,False
sl_lead_ii_r_ms,37,0.9978349912229374,30,False
sl_lead_ii_r_uv,37,0.9978349912229374,34,False
sl_lead_ii_j_uv,37,0.9978349912229374,19,False
sl_lead_ii_st_uv,37,0.9978349912229374,19,False
sl_lead_ii_ste_uv,37,0.9978349912229374,25,False
sl_lead_iii_r_ms,37,0.9978349912229374,31,False
sl_lead_iii_r_uv,37,0.9978349912229374,30,False
sl_lead_iii_j_uv,37,0.9978349912229374,16,False
sl_lead_iii_st_uv,37,0.9978349912229374,18,False
sl_lead_iii_ste_uv,37,0.9978349912229374,22,False
sl_lead_avr_j_uv,37,0.9978349912229374,20,False
sl_lead_avr_st_uv,37,0.9978349912229374,18,False
sl_lead_avr_ste_uv,37,0.9978349912229374,26,False
sl_lead_avl_r_ms,37,0.9978349912229374,27,False
sl_lead_avl_r_uv,37,0.9978349912229374,32,False
sl_lead_avl_j_uv,37,0.9978349912229374,16,False
sl_lead_avl_st_uv,37,0.9978349912229374,16,False
sl_lead_avl_ste_uv,37,0.9978349912229374,20,False
sl_lead_avf_r_ms,37,0.9978349912229374,27,False
sl_lead_avf_r_uv,37,0.9978349912229374,37,False
sl_lead_avf_j_uv,37,0.9978349912229374,18,False
sl_lead_avf_st_uv,37,0.9978349912229374,20,False
sl_lead_avf_ste_uv,37,0.9978349912229374,21,False
sl_lead_v1_j_uv,37,0.9978349912229374,18,False
sl_lead_v1_st_uv,37,0.9978349912229374,22,False
sl_lead_v1_ste_uv,37,0.9978349912229374,21,False
sl_lead_v2_r_ms,37,0.9978349912229374,24,False
sl_lead_v2_s_ms,37,0.9978349912229374,26,False
sl_lead_v2_r_uv,37,0.9978349912229374,35,False
sl_lead_v2_s_uv,37,0.9978349912229374,34,False
sl_lead_v2_j_uv,37,0.9978349912229374,28,False
sl_lead_v2_st_uv,37,0.9978349912229374,25,False
sl_lead_v2_t_uv,37,0.9978349912229374,33,False
sl_lead_v2_ste_uv,37,0.9978349912229374,33,False
sl_lead_v3_r_ms,37,0.9978349912229374,22,False
sl_lead_v3_r_uv,37,0.9978349912229374,32,False
sl_lead_v3_j_uv,37,0.9978349912229374,25,False
sl_lead_v3_st_uv,37,0.9978349912229374,26,False
sl_lead_v3_ste_uv,37,0.9978349912229374,30,False
sl_lead_v4_r_ms,37,0.9978349912229374,21,False
