feature,clear_variable,variable_label,source_system,unit,lead,category
ge_hr_bpm,ge_hr_bpm,GE ECG Heart rate,GE2014,bpm,,global
ge_qrs_dur_ms,ge_qrs_dur_ms,GE ECG QRS duration,GE2014,ms,,global
ge_qt_ms,ge_qt_ms,GE ECG QT interval,GE2014,ms,,global
ge_qtc_ms,ge_qtc_ms,GE ECG QTc interval,GE2014,ms,,global
ge_pq_ms,ge_pq_ms,GE ECG PQ/PR interval,GE2014,ms,,global
ge_p_dur_ms,ge_p_dur_ms,GE ECG P-wave duration,GE2014,ms,,global
ge_rr_ms,ge_rr_ms,GE ECG RR interval,GE2014,ms,,global
ge_pp_ms,ge_pp_ms,GE ECG PP interval,GE2014,ms,,global
ge_cb_count,ge_cb_count,GE ECG Cardiac beat count,GE2014,count,,global
ge_p_axis_deg,ge_p_axis_deg,GE ECG P-wave axis,GE2014,degrees,,global
ge_qrs_axis_deg,ge_qrs_axis_deg,GE ECG QRS axis,GE2014,degrees,,global
ge_t_axis_deg,ge_t_axis_deg,GE ECG T-wave axis,GE2014,degrees,,global
ge_p_onset_ms,ge_p_onset_ms,GE ECG P-wave onset,GE2014,ms,,global
ge_p_offset_ms,ge_p_offset_ms,GE ECG P-wave offset,GE2014,ms,,global
ge_qrs_onset_ms,ge_qrs_onset_ms,GE ECG QRS onset,GE2014,ms,,global
ge_qrs_offset_ms,ge_qrs_offset_ms,GE ECG QRS offset,GE2014,ms,,global
ge_t_offset_ms,ge_t_offset_ms,GE ECG T-wave offset,GE2014,ms,,global
ge_lead_i_q_ms,ge_lead_i_q_ms,GE ECG Lead I Q-wave duration,GE2014,ms,I,lead_measurement
ge_lead_i_r_ms,ge_lead_i_r_ms,GE ECG Lead I R-wave duration,GE2014,ms,I,lead_measurement
ge_lead_i_s_ms,ge_lead_i_s_ms,GE ECG Lead I S-wave duration,GE2014,ms,I,lead_measurement
ge_lead_i_p_uv,ge_lead_i_p_uv,GE ECG Lead I P-wave amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_q_uv,ge_lead_i_q_uv,GE ECG Lead I Q-wave amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_r_uv,ge_lead_i_r_uv,GE ECG Lead I R-wave amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_s_uv,ge_lead_i_s_uv,GE ECG Lead I S-wave amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_j_uv,ge_lead_i_j_uv,GE ECG Lead I J-point amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_st_uv,ge_lead_i_st_uv,GE ECG Lead I ST amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_t_uv,ge_lead_i_t_uv,GE ECG Lead I T-wave amplitude,GE2014,uV,I,lead_measurement
ge_lead_i_ste_uv,ge_lead_i_ste_uv,GE ECG Lead I ST elevation,GE2014,uV,I,lead_measurement
ge_lead_i_tprime_uv,ge_lead_i_tprime_uv,GE ECG Lead I T-prime wave amplitude,GE2014,uV,I,lead_measurement
ge_lead_ii_q_ms,ge_lead_ii_q_ms,GE ECG Lead II Q-wave duration,GE2014,ms,II,lead_measurement
ge_lead_ii_r_ms,ge_lead_ii_r_ms,GE ECG Lead II R-wave duration,GE2014,ms,II,lead_measurement
ge_lead_ii_s_ms,ge_lead_ii_s_ms,GE ECG Lead II S-wave duration,GE2014,ms,II,lead_measurement
ge_lead_ii_p_uv,ge_lead_ii_p_uv,GE ECG Lead II P-wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_q_uv,ge_lead_ii_q_uv,GE ECG Lead II Q-wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_r_uv,ge_lead_ii_r_uv,GE ECG Lead II R-wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_s_uv,ge_lead_ii_s_uv,GE ECG Lead II S-wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_rp_uv,ge_lead_ii_rp_uv,GE ECG Lead II R-prime wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_j_uv,ge_lead_ii_j_uv,GE ECG Lead II J-point amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_st_uv,ge_lead_ii_st_uv,GE ECG Lead II ST amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_t_uv,ge_lead_ii_t_uv,GE ECG Lead II T-wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_ii_rp2_ms,ge_lead_ii_rp2_ms,GE ECG Lead II R-prime duration,GE2014,ms,II,lead_measurement
ge_lead_ii_ste_uv,ge_lead_ii_ste_uv,GE ECG Lead II ST elevation,GE2014,uV,II,lead_measurement
ge_lead_ii_tprime_uv,ge_lead_ii_tprime_uv,GE ECG Lead II T-prime wave amplitude,GE2014,uV,II,lead_measurement
ge_lead_iii_q_ms,ge_lead_iii_q_ms,GE ECG Lead III Q-wave duration,GE2014,ms,III,lead_measurement
ge_lead_iii_r_ms,ge_lead_iii_r_ms,GE ECG Lead III R-wave duration,GE2014,ms,III,lead_measurement
ge_lead_iii_s_ms,ge_lead_iii_s_ms,GE ECG Lead III S-wave duration,GE2014,ms,III,lead_measurement
ge_lead_iii_p_uv,ge_lead_iii_p_uv,GE ECG Lead III P-wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_q_uv,ge_lead_iii_q_uv,GE ECG Lead III Q-wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_r_uv,ge_lead_iii_r_uv,GE ECG Lead III R-wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_s_uv,ge_lead_iii_s_uv,GE ECG Lead III S-wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_rp_uv,ge_lead_iii_rp_uv,GE ECG Lead III R-prime wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_sp_uv,ge_lead_iii_sp_uv,GE ECG Lead III S-prime wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_j_uv,ge_lead_iii_j_uv,GE ECG Lead III J-point amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_st_uv,ge_lead_iii_st_uv,GE ECG Lead III ST amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_t_uv,ge_lead_iii_t_uv,GE ECG Lead III T-wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_rp2_ms,ge_lead_iii_rp2_ms,GE ECG Lead III R-prime duration,GE2014,ms,III,lead_measurement
ge_lead_iii_pprime_uv,ge_lead_iii_pprime_uv,GE ECG Lead III P-prime wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_iii_ste_uv,ge_lead_iii_ste_uv,GE ECG Lead III ST elevation,GE2014,uV,III,lead_measurement
ge_lead_iii_tprime_uv,ge_lead_iii_tprime_uv,GE ECG Lead III T-prime wave amplitude,GE2014,uV,III,lead_measurement
ge_lead_avr_q_ms,ge_lead_avr_q_ms,GE ECG Lead aVR Q-wave duration,GE2014,ms,aVR,lead_measurement
ge_lead_avr_r_ms,ge_lead_avr_r_ms,GE ECG Lead aVR R-wave duration,GE2014,ms,aVR,lead_measurement
ge_lead_avr_s_ms,ge_lead_avr_s_ms,GE ECG Lead aVR S-wave duration,GE2014,ms,aVR,lead_measurement
ge_lead_avr_p_uv,ge_lead_avr_p_uv,GE ECG Lead aVR P-wave amplitude,GE2014,uV,aVR,lead_measurement
ge_lead_avr_q_uv,ge_lead_avr_q_uv,GE ECG Lead aVR Q-wave amplitude,GE2014,uV,aVR,lead_measurement
ge_lead_avr_r_uv,ge_lead_avr_r_uv,GE ECG Lead aVR R-wave amplitude,GE2014,uV,aVR,lead_measurement
ge_lead_avr_s_uv,ge_lead_avr_s_uv,GE ECG Lead aVR S-wave amplitude,GE2014,uV,aVR,lead_measurement
ge_lead_avr_rp_uv,ge_lead_avr_rp_uv,GE ECG Lead aVR R-prime wave amplitude,GE2014,uV,aVR,lead_measurement
ge_lead_avr_j_uv,ge_lead_avr_j_uv,GE ECG Lead aVR J-point amplitude,GE2014,uV,aVR,lead_measurement
