model,evaluation,n,mae,rmse,r2,bias_pred_minus_observed,calibration_intercept_observed_on_predicted,calibration_slope_observed_on_predicted,calibration_slope_error
elastic_net,train_cross_validation,11963,5.072987823958809,6.286636592976664,0.2680615363740747,-0.00017291957783239375,-0.8856712872410526,1.0146190330344438,0.014619033034443785
elastic_net,heldout_test,5127,5.069278219848906,6.3165983129508,0.26857307707994693,0.01383275289034587,-0.7796919230884001,1.0126320721603905,0.012632072160390528
random_forest,train_cross_validation,11963,5.202107378832362,6.364918007033411,0.24971980139608074,0.023400096907379004,-17.489897864364977,1.288136457667025,0.2881364576670249
random_forest,heldout_test,5127,5.211899187519602,6.418614811214647,0.2447564063956561,0.029750450261319405,-15.111325652468373,1.2486900316436147,0.2486900316436147
extra_trees,train_cross_validation,11963,5.219058507995953,6.373161760611315,0.2477750377686586,-0.007141867051599359,-21.65492648144314,1.3575289143723799,0.3575289143723799
extra_trees,heldout_test,5127,5.232436749267353,6.423014714906211,0.24372062589891674,-0.0006922480182553683,-19.940664811214255,1.328991327341193,0.3289913273411931
hist_gradient_boosting,train_cross_validation,11963,4.975830488311993,6.185445231961792,0.2914348478427109,-0.03332399582674186,-3.431368130072059,1.0572089017286823,0.057208901728682315
hist_gradient_boosting,heldout_test,5127,4.995733907830529,6.241580298690251,0.28584324824570306,-0.020931048984407813,-3.486619715108837,1.0578866929840436,0.057886692984043586
xgboost,train_cross_validation,11963,4.987453616623056,6.165832266031577,0.2959211963874786,-0.0058975870230819115,-7.662395477294922,1.1265612840652466,0.12656128406524658
xgboost,heldout_test,5127,5.026101536654998,6.248204887572012,0.28432648316221376,-0.01519729855327037,-6.769069671630859,1.1119532585144043,0.1119532585144043
lightgbm,train_cross_validation,11963,4.892555688046567,6.10047048902161,0.3107694503987415,-0.017250851117494283,-1.0019301074908853,1.0168242230074276,0.016824223007427586
lightgbm,heldout_test,5127,4.9126434446506355,6.169060848531324,0.30234207806717306,-0.039809411366298814,-0.34350408740044713,1.0063279671636527,0.006327967163652692
